category,maker,year,registrations
2W,KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),2019,0
2W,KAINING (HONGKONG) (IMPORTER: TOXMO ELECTRIC),2019,0
2W,KAINING (HONGKONG) (IMPORTER: VOLTA EV PVT LTD),2019,0
2W,KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),2019,0
3W,KAKKAR ELECTRIC AUTO PVT LTD,2019,0
3W,KALIKA VAHAN PVT LTD,2019,55
3W,KALINGA VENTURES IND P,2019,5
3W,KALINGA VENTURES INDIA PVT LTD,2019,250
LMV,KALINGA VENTURES INDIA PVT LTD,2019,7
3W,KALPVRIKSH ELECTOMOBILES CO,2019,74
3W,KAMAZ INDUSTRIES,2019,5
3W,KANHA ELECTRIC VEHICLES,2019,0
3W,KANIFA AUTOMOTIVE PVT LTD,2019,2
3W,KAPTECH INDIA PVT LTD,2019,657
3W,KARNATAKA SCOOTERS LTD,2019,0
3W,KARTAR AGRO ENGINEERS PVT LTD,2019,0
3W,KARTAR AGRO INDUSTRIES PVT LTD,2019,0
LMV,KARUMALAIAN AGRO INDUSTRY     ,2019,0
MMV,KARUMALAIAN AGRO INDUSTRY     ,2019,0
3W,KATYAYANI AUTOMOTIVE,2019,0
3W,KAYAMEL MACHINE PRIVATE LTD,2019,0
3W,KCAS ELECTRIC VEHICLES PVT LTD,2019,0
3W,KELVINATOR INDIA LTD          ,2019,0
3W,KERALA AUTOMOBILES LIMITED,2019,0
3W,KETO MOTORS PVT LTD,2019,0
LMV,KETO MOTORS PVT LTD,2019,0
3W,KETRON ELECTRIC VEHICLES PVT LTD,2019,0
3W,KGN,2019,38
3W,KGN INDUSTRIES,2019,16
LMV,KGN INDUSTRIES,2019,0
3W,KHALSA  AGRO INDUSTRIES,2019,0
3W,KHALSA E-VEHICLES PVT LTD,2019,1233
3W,KHAN ENGINEERING WORKS,2019,0
3W,KHEMRAJ AUTOMOTIVE INDUSTRIES,2019,46
LMV,KIA INDIA PRIVATE LIMITED,2019,0
2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,2019,0
3W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,2019,1463
LMV,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,2019,1
3W,KINETIC GREEN ENERGY P SOL LTD,2019,43
3W,KINETIC MOTOR COMPANY LIMITED,2019,0
LMV,KION INDIA PVT LTD,2019,0
MMV,KION INDIA PVT LTD,2019,0
3W,KIRAN AUTOMOBILE INDUSTRY,2019,0
3W,KIRTI SOLAR LTD,2019,266
LMV,KISAN AGRO INDUSTRIES,2019,0
2W,KLB KOMAKI PVT LTD,2019,0
3W,KLB KOMAKI PVT LTD,2019,80
LMV,KLB KOMAKI PVT LTD,2019,0
3W,KNIGHT QUEEN INDUSTRIES PV LTD,2019,0
3W,KNIGHT QUEEN INDUSTRIES PVT LTD,2019,0
3W,KPT INDUSTRIES LTD,2019,3
3W,KPT MOTORS,2019,0
3W,KRANTI AUTOMOBILES LIMITED,2019,0
3W,KRANTI AUTOMOBILES LTD,2019,21
3W,KRANTI INTERNATIONAL,2019,6
3W,KRISHI ENGINEERING WORKS,2019,0
3W,KRISHNA ENGINEERING,2019,0
3W,KRISHNA ENGINEERING WORKS,2019,419
LMV,KRISHNA ENGINEERING WORKS,2019,0
3W,KRISHNA INDUSTRIES,2019,28
3W,KRISHNA VEHICALS,2019,127
2W,KRT MOTORS PVT LTD,2019,0
LMV,KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,2019,0
3W,KUKU AUTOMOTIVES,2019,307
LMV,KUKU AUTOMOTIVES,2019,0
3W,KUMAR ENGINEERING,2019,0
3W,KUMAR MOTORS PVT LTD,2019,0
3W,KUMARAN ENGINEERING ENTERPRISES,2019,0
2W,KYTE ENERGY PVT. LTD.,2019,0
3W,L & T CASE EQUIPMENT PVT LTD,2019,0
LMV,LAKSHMI AGRO INDUSTRIES,2019,0
3W,LAKSHMI AUTO TRADERS,2019,0
3W,LAKSHYA AUTO SALES CORPORATION,2019,24
3W,LAKSHYA MOTORS,2019,13
3W,LALA G E RICKSHAW AND SPARE PARTS,2019,0
3W,LAUNCHER MATERIAL HANDLING INDUSTRIES,2019,2
3W,LAWAT MOTORS,2019,1
3W,LAWAT MOTORS LLP,2019,302
LMV,LAWAT MOTORS LLP,2019,1
3W,LAXMI E-RICKSHAW COMPANY,2019,35
2W,LECTRIX EV PVT LTD,2019,0
3W,LECTRIX EV PVT LTD,2019,0
LMV,LECTRIX EV PVT LTD,2019,0
3W,LEOPAN MOTORS PRIVATE LIMITED,2019,0
2W,LI-IONS ELEKTRIK SOLUTIONS PVT LTD,2019,0
2W,LIMA VEHICLE GROUP(IMPORTER: ROUTE & MARS EV LLP),2019,0
3W,LIONIZE AUTOMOBILE PVT LTD,2019,0
LMV,LIUGONG INDIA PVT. LTD,2019,1
MMV,LIUGONG INDIA PVT. LTD,2019,0
2W,LML LIMITED,2019,0
3W,LML LIMITED,2019,0
LMV,LMV LTD,2019,0
3W,LOCAL TRAILER MANUFACTURER,2019,0
LMV,LOCAL TRAILER MANUFACTURER,2019,0
2W,LOG 9 MATERIALS SCIENTIFIC PVT LTD,2019,0
2W,LOHIA AUTO INDUSTRIES,2019,0
3W,LOHIA AUTO INDUSTRIES,2019,714
LMV,LOHIA AUTO INDUSTRIES,2019,0
3W,LOHIA AUTO INDUSTRIES LTD.,2019,94
3W,LORDS VEHICLE MFG PVT LTD,2019,0
3W,LOTEY AGRO INDUSTRY,2019,0
3W,LOTIA  MOTORS  LTD,2019,0
3W,LUCKY INDUSTRIES,2019,0
3W,M G INDUSTRIES,2019,65
LMV,M G INDUSTRIES,2019,1
3W,M K BROTHERS,2019,1
3W,M K ENTERPRISES,2019,1
LMV,M.G.P ENGINEERING WORKS,2019,0
3W,M.K. ENTERPRISES,2019,210
LMV,M.K. ENTERPRISES,2019,0
3W,M/S CHAMPION POLY PLAST,2019,0
LMV,M/S CHAMPION POLY PLAST,2019,0
3W,M/S HOVEL CYLINDER PVT LTD,2019,0
LMV,M/S HOVEL CYLINDER PVT LTD,2019,0
3W,M/S JASRAJ AUTO AGENCY,2019,0
LMV,"M/S PATEL & SONS ENGINEERING WORKS,SAMBALPUR",2019,0
3W,M/S SHRIRAM AUTO TECH PVT LTD,2019,1614
LMV,M/S SHRIRAM AUTO TECH PVT LTD,2019,1
3W,M/S SRISHTI AUTOMOBILES,2019,0
3W,"M/S SUBHAM ENGINEERING WORKSHOP, BALIAPAL, BALASORE",2019,0
3W,M/S TRISHIKA INDUSTRIES,2019,0
2W,M/S UNITY MOTOR BODY,2019,0
2W,M/S VISHNU CLEAN ENERGY VEHICLES LLP,2019,0
3W,M/S VISHNU CLEAN ENERGY VEHICLES LLP,2019,0
LMV,M/S VISHNU CLEAN ENERGY VEHICLES LLP,2019,0
3W,M/S. DAVE EXIM (P) LTD.,2019,1
2W,M2GO ELECTRIC VEHICLE PVT LTD,2019,0
3W,M2J E VAHAN PVT LTD,2019,17
3W,MAA DURGA ELECTRIC MOTOR VEHICLE PVT LTD,2019,0
3W,MAA KALPANA ENTERPRISE,2019,0
2W,MAA LUXMI E-VEHICLES PVT. LTD.,2019,0
3W,MAA SHAKTI EXIM PVT LTD,2019,1988
LMV,MAA SHAKTI EXIM PVT LTD,2019,0
3W,MAC AUTO INDIA,2019,537
LMV,MAC AUTO INDIA,2019,0
2W,MAC INTERNATIONAL (IMPORTER: JHEV MOTORS PVT LTD),2019,0
2W,MAC INTERNATIONAL (IMPORTER:HONESTY),2019,0
3W,MACNEILL ENGG LTD,2019,0
LMV,MACNEILL ENGG LTD,2019,0
LMV,MACNEILL ENGINEERING LIMITED,2019,0
LMV,MAHALINGA ENGG. INDUSTRIES  ,2019,0
2W,MAHARASTRA SCOOTER LIMITED,2019,0
3W,MAHI ENTERPRISES,2019,32
LMV,MAHI ENTERPRISES,2019,0
2W,MAHINDRA & MAHINDRA LIMITED,2019,0
3W,MAHINDRA & MAHINDRA LIMITED,2019,6725
LMV,MAHINDRA & MAHINDRA LIMITED,2019,687
LMV,MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),2019,0
3W,MAHINDRA & MAHINDRA LIMITED (TRACTOR),2019,0
2W,MAHINDRA ELECTRIC MOBILITY LIMITED,2019,0
3W,MAHINDRA ELECTRIC MOBILITY LIMITED,2019,1786
LMV,MAHINDRA ELECTRIC MOBILITY LIMITED,2019,99
3W,MAHINDRA GUJARAT TRACTOR LIMITED,2019,0
3W,MAHINDRA LAST MILE MOBILITY LTD,2019,0
LMV,MAHINDRA LAST MILE MOBILITY LTD,2019,0
3W,MAHINDRA NAVISTAR  AUTOMOTIVES LTD,2019,0
3W,MAHINDRA NISSAN ALLWYN LTD.,2019,0
LMV,MAHINDRA RENAULT PVT.LTD.,2019,0
2W,MAHINDRA TWO WHEELERS LTD,2019,0
LMV,MAHINDRA TWO WHEELERS LTD,2019,0
LMV,MAHINDRA VEHICLE MANUFACTURER LIMITED,2019,0
3W,MAHTAB BODY MAKER,2019,0
3W,MALAK TECHNO PVT LTD,2019,0
3W,MALHOTRA  VEHICLE MANUFACTURING PVT LTD,2019,6
3W,MALI ENTERPRISES PVT LTD,2019,499
3W,MAN TRUCKS INDIA PVT. LTD.,2019,0
3W,MANIRAM ELECTRIC VEHICLE PVT LTD,2019,52
3W,MANISH EV INTERNATIONAL PRIVATE LIMITED,2019,0
3W,MANITA CITY MOTORS LLP,2019,167
LMV,MANITA CITY MOTORS LLP,2019,0
3W,MANMOHAN KAUR,2019,54
3W,MARINE NAVAIDS & SOLAR AUTO PVT LTD,2019,0
3W,MARKUS,2019,0
2W,MARUTHISAN PVT LTD,2019,0
LMV,MARUTI SUZUKI INDIA LTD,2019,1
2W,MAULIRAJ INDUSTRIES LLP,2019,0
3W,MAXI CAB,2019,0
3W,"MAYUR ENTERPRISES,BARIPADA",2019,15
2W,MECPOWER MOBILITY PVT. LTD.,2019,0
LMV,MEGHA TRAILERS,2019,0
LMV,MERCEDES -BENZ AG,2019,0
LMV,MERCEDES-BENZ INDIA PVT LTD,2019,0
2W,MEW ELECTRICALS LIMITED,2019,0
3W,MG MOTOR INDIA PVT LTD,2019,0
LMV,MG MOTOR INDIA PVT LTD,2019,7
2W,MICROAUTOTECH PVT. LTD.,2019,0
2W,MICROCON I2I PVT LTD,2019,0
3W,MILLENNIAL MOTORS LLP,2019,0
3W,MINI METRO,2019,87
2W,MINI METRO EV L.L.P,2019,0
3W,MINI METRO EV L.L.P,2019,2265
LMV,MINI METRO EV L.L.P,2019,0
2W,MIRAKLE 5 AUTOMOBILES PVT LTD,2019,0
3W,MITHU BAJRANG ENG.WORKS,2019,0
3W,MLR AUTO LTD,2019,0
LMV,MLR AUTO LTD,2019,0
2W,MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),2019,0
3W,MOHAN GENERAL TRADING COMPANY,2019,56
3W,MOMU AUTOMOTIVE,2019,0
3W,MONDAL TRADING,2019,0
3W,MOTOR & GENERAL SALES LTD.,2019,0
3W,MOTOR & GENERAL SALES PVT LTD,2019,33
LMV,MOTOR & GENERAL SALES PVT LTD,2019,1
LMV,MOTOROYALE KINETIC PRIVATE LIMITED,2019,0
2W,MOTOVOLT MOBILITY PVT LTD,2019,0
3W,MOTRAC MOTORS PVT LTD,2019,132
3W,MOVE STONE SERVICES PVT LTD,2019,0
LMV,MSI INDUSTRIES,2019,0
3W,MULTI DIMENSIONAL SOLUTIONS,2019,18
3W,MUNDE MECHANICAL WORKS,2019,0
LMV,MUTHUR AGRO ENGINEERING WORKS,2019,0
3W,MVM MOTORS PRIVATE LIMITED,2019,0
3W,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,2019,232
3W,NABH MOTORS PVT LTD,2019,48
3W,NAMAH INDUSTRIES PVT LTD,2019,91
3W,NAND ELECTRIC MOTOR VEHICLE PVT LTD,2019,30
3W,NANNHRAY AGIRCULTURE WORKS,2019,0
3W,NANYA AIRCONN PVT LTD,2019,1
3W,NARAINDASS AND SONS,2019,12
3W,NB TURNED  COMPONENTS PVT LTD,2019,13
LMV,NB TURNED  COMPONENTS PVT LTD,2019,0
3W,NBC ENGINEERING PVT LTD,2019,0
2W,NDS ECO MOTORS PVT LTD,2019,648
3W,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,2019,267
LMV,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,2019,0
3W,NEELAM AGRO EQUIP,2019,0
3W,NEELAM CYCLE,2019,0
3W,NEUON MOTORS LLP,2019,0
3W,NEW ARCANA INDIA,2019,732
3W,NEW CHAWLA INDUSTRIES,2019,0
3W,NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT.LTD.,2019,0
LMV,NEW MARTHWADA QUALITY TRAILOR,2019,0
3W,NEWTON INDIA INDUSTRIES PVT LTD,2019,0
2W,NEXZU MOBILITY PVT LTD,2019,370
3W,NEXZU MOBILITY PVT LTD,2019,0
3W,NGAGE IMPEX PVT LTD,2019,0
3W,NGAGE WHEEL PVT LTD,2019,38
3W,NHD MOTORS,2019,161
3W,NIBE MOTORS PVT LTD,2019,15
2W,NIC TEST ACCOUNT-1,2019,0
3W,NIC TEST ACCOUNT-1,2019,2
LMV,NIC TEST ACCOUNT-1,2019,0
3W,NICOLAS INDUSTRIES,2019,0
3W,NIKHIL FURNITURES,2019,31
2W,NINGBO SANJIANG (IMPORTER: VABRO EVTECH),2019,0
3W,NIPUN SANYANTRA PVT LTD,2019,17
3W,NIRMAL UTILITY SERVICES PVT LTD,2019,158
2W,NISIKI TECHNOLOGIES PVT LTD,2019,0
3W,NISSAN MOTOR INDIA PVT LTD,2019,0
LMV,NISSAN MOTOR INDIA PVT LTD,2019,1
3W,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,2019,468
2W,NUMEROS MOTORS PVT LTD,2019,0
2W,OBEN ELECTRIC VEHICLES PVT LTD,2019,0
3W,OCULUS AUTO INDUSTRIES LLP,2019,0
2W,ODYSSE ELECTRIC VEHICLES PVT LTD,2019,0
3W,OGATA MOTORS INDIA PVT LTD,2019,87
3W,OK PLAY INDIA LTD,2019,130
LMV,OK PLAY INDIA LTD,2019,7
2W,OKA MOTOR COMPANY LTD.,2019,0
2W,OKAYA EV PVT LTD,2019,0
2W,OKINAWA AUTOTECH PVT LTD,2019,11850
3W,OKINAWA AUTOTECH PVT LTD,2019,0
LMV,OKINAWA AUTOTECH PVT LTD,2019,1
2W,OLA ELECTRIC TECHNOLOGIES PVT LTD,2019,0
LMV,OLECTRA GREENTECH LTD,2019,0
MMV,OLECTRA GREENTECH LTD,2019,11
3W,OLYMPUS INDUSTRIES PVT LTD,2019,51
MMV,OLYMPUS INDUSTRIES PVT LTD,2019,0
2W,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,2019,0
3W,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,2019,1610
3W,OM BALAJI AUTOMOBILES I P LTD,2019,83
3W,OM INDUSTRIES,2019,12
3W,OM PACKAGING,2019,29
3W,OM RAJ AUTOTECH LLP,2019,388
3W,OM. INDUSTRIES,2019,5
3W,OMEGA SALES & AGRO INDUSTRIES,2019,0
3W,OMEGA SEIKI PVT LTD,2019,0
LMV,OMEGA SEIKI PVT LTD,2019,0
2W,OMJAY EV LIMITED,2019,0
2W,ORIGINAL FUEL SYSTEM PVT LTD,2019,0
3W,ORIGINAL FUEL SYSTEM PVT LTD,2019,0
2W,OTHERS,2019,1576
3W,OTHERS,2019,312
LMV,OTHERS,2019,269
MMV,OTHERS,2019,0
2W,OZOTEC AUTOMOBILE PRIVATE LIMITED,2019,0
3W,PAARTH SARTHI AUTOMOTIVE ENGINEERS PVT LTD,2019,13
3W,PACE AGRO PRIVATE LIMITED,2019,234
LMV,PACE AGRO PRIVATE LIMITED,2019,0
3W,PACE AGRO PVT LTD,2019,3
3W,PAL DIESAL PVT LTD,2019,0
3W,PANSEN ENGINEERING INDIA PVT LTD,2019,41
3W,PANTHER ELECTRIC VEHICLES,2019,0
3W,PARAG AGRO,2019,0
3W,PARAS INDUSTRIES,2019,0
LMV,PARAS INDUSTRIES,2019,0
3W,PARI E-VEHICLES,2019,246
3W,PARI METRO E RICKSHAW,2019,286
3W,PARVEEN AUTO,2019,285
3W,PASHUPATI NATH MOTORS PVT LTD,2019,12
3W,PASHUPATI VEHICLE PVT. LTD.,2019,20
3W,PASHUPATI VEHICLES PVT LTD,2019,29
3W,PATS MOTOR CORP,2019,44
LMV,PCA AUTOMOBILES INDIA PVT LTD,2019,0
2W,PIAGGIO VEHICLES PVT LTD,2019,0
3W,PIAGGIO VEHICLES PVT LTD,2019,1
LMV,PIAGGIO VEHICLES PVT LTD,2019,0
3W,PILLING RIG,2019,0
LMV,PINNACLE MOBILITY SOLUTIONS PVT LTD,2019,0
3W,PLAUDIT TECHNO INDIA PVT LTD,2019,504
LMV,PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED,2019,1
MMV,PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED,2019,0
LMV,PONMALAR TRAILERS,2019,0
3W,POOSHPAK AUTOMOBILES PVT LTD,2019,0
2W,PORFITEL TECHNOLOGY (IMPORTER: AERORIDE),2019,0
3W,PORSCHE AG,2019,0
LMV,PORSCHE AG GERMANY,2019,0
2W,PORWAL ELECTRIC,2019,0
LMV,POWERLAND AGRO TRACTOR VEHICLES PVT LTD,2019,0
3W,PRAAKARM AUTO & CONSTRUCTION EQUIPMENTS,2019,23
3W,PRABHA AUTOMOTIVE ENGINEERS PVT LTD,2019,0
3W,PRAG MOTORS,2019,0
3W,PRAGYA AUTOMOBILE PVT LTD,2019,0
3W,PRAJAPATI ENG. WORKS,2019,0
3W,PRAJJWAL MAHAJAN TRADERS,2019,0
3W,PRAKASH ENTERPRISES,2019,19
3W,PREET TRACTORS PVT. LTD.,2019,0
3W,PREMIER LTD,2019,0
3W,PRESTANTIA CREATIONS PVT LTD,2019,9
3W,PRIDE E-MOTORS,2019,0
3W,PRIMA PVT LTD,2019,2
3W,PRIYAM INDUSTRIES AND ENGINEERING PVT LTD,2019,0
3W,PUBANG ETRON ELECTRIC MOTOR PVT LTD,2019,2606
3W,PUNEET OVERSEAS  INC,2019,0
3W,PUNJAB BODY BUILDERS,2019,0
LMV,PUNJAB TRACTORS LIMITED,2019,0
2W,PUR ENERGY PVT LTD,2019,0
3W,PURVA UDYOG PVT LTD,2019,1
3W,PUSHKAR INDUSTRIES,2019,0
3W,PYTHOX MOTORS PVT LTD,2019,14
2W,QICHENG VEHICLE (IMPORTER: AUTOICARE INNOVATION),2019,0
2W,QOOKEE TECHNOLOGIES (IMPORTER:VIKEBIKE INDIA),2019,0
2W,QUANTUM ENERGY LTD.,2019,0
LMV,QUANTUM ENERGY LTD.,2019,0
LMV,R.N.A.I.P.LTD,2019,0
3W,R3 ENTERPRISES,2019,77
3W,RAAJ AUTOMOTIVE,2019,0
3W,RACCOON MOTORS PVT LTD,2019,0
3W,RACHANACREATIONS AUTO PVT LTD,2019,0
3W,RAFTAAR ELECTRIC GREEN VEHICLES PVT LTD,2019,0
3W,RAHUL AGRO EXPORTS PVT LTD,2019,140
2W,RAJ AUTOMOTIVE,2019,1
3W,RAJ AUTOMOTIVE,2019,11
3W,RAJA ARTS HITECH ENGINEERING,2019,0
3W,RAJESH STEEL AND WIRE INDUSTRIES,2019,135
LMV,RAJESH STEEL AND WIRE INDUSTRIES,2019,0
3W,RAJIV RAJ VEHICLES PVT LTD,2019,28
3W,RAJKAMAL MOTORS LTD,2019,0
3W,RAM JANKI ENG. WORK,2019,0
3W,RAMA INDUSTRIES,2019,0
3W,RAMON INDUSTRIES,2019,238
3W,RANA ENGINEER WORKS,2019,0
3W,RASANDIK ENGINEERING,2019,0
3W,RASANDIK ENGINEERING INDUSTRIES INDIA LTD,2019,58
3W,RASANDIK MOTORS PVT LTD,2019,0
3W,RASIWASIA RASAYAN PVT LTD,2019,19
LMV,RATHNA ENGINEERING COMPANY,2019,0
3W,RAVI METAL WORKS,2019,0
3W,RAYON ENGINEERS,2019,50
3W,RCJ AUTO FORGE PVT LTD,2019,0
3W,RD AND CO,2019,0
3W,RDS INDUSTRIES,2019,0
3W,REDDY AUTOMOTIVE PVT LTD,2019,0
3W,REEP INDUSTRIES PVT LTD,2019,40
LMV,REEP INDUSTRIES PVT LTD,2019,2
3W,REFLEX CONTROL SYSTEM PVT,2019,0
3W,REFLEX CONTROL SYSTEM PVT .LTD,2019,112
2W,REGENERATION E BIKES,2019,0
2W,RENAULT INDIA PVT LTD,2019,0
3W,RENAULT INDIA PVT LTD,2019,0
LMV,RENAULT INDIA PVT LTD,2019,0
3W,REPUBLIC MOTORS,2019,54
LMV,REPUBLIC MOTORS,2019,0
3W,REPUBLIC PVT.LTD.,2019,0
LMV,REVA ELECTRIC CAR CO,2019,0
2W,REVOLT INTELLICORP PVT LTD,2019,480
2W,RGM BUSINESS PLUS PVT LTD,2019,0
3W,RIBAND ELECTRIC PVT LTD,2019,0
3W,RICHFORD ALLIANZ PVT LTD,2019,0
2W,RIVER MOBILITY PVT LTD,2019,0
3W,RIYA ENTERPRISE,2019,10
3W,ROANSOME MOTORS,2019,0
3W,ROARLEO MOTOR PVT LTD,2019,88
LMV,ROLLS ROYCE,2019,0
LMV,ROLLS ROYCE MOTOR (IMPORTER: KUN MOTOR),2019,0
LMV,ROLLS-ROYCE MOTOR CARS(IMPORTER:SELECT CARS P LTD),2019,0
2W,ROWWET MOBILITY PVT LTD,2019,0
2W,ROYAL-ENFIELD (UNIT OF EICHER LTD),2019,1
3W,ROYAL-ENFIELD (UNIT OF EICHER LTD),2019,0
LMV,ROYAL-ENFIELD (UNIT OF EICHER LTD),2019,0
3W,ROYCE EV PVT LTD,2019,0
3W,RP MOTORS,2019,0
3W,RSD SECURITY SOLUTIONS PVT LTD,2019,377
3W,RUDRA AUTO INDUSTRIES,2019,0
3W,RUTBA PRODUCT PVT LTD,2019,492
3W,S AND J INDUSTRIES,2019,140
3W,S B TRADERS,2019,0
3W,S E ASIA CO,2019,2
LMV,S J TRAILORS,2019,0
LMV,"S M TRACTOR TRALERS, SHAHAPUR",2019,0
3W,S S GLOBAL,2019,106
3W,S.M. LTD.,2019,0
3W,S.P. ELECTRONICS,2019,0
3W,S.S.AGRO TECH,2019,0
3W,S.V AUTOMOTIVE,2019,59
3W,SAATHI TRADING CO,2019,0
3W,SAERA ELECTRIC AUTO PVT LTD,2019,5080
LMV,SAERA ELECTRIC AUTO PVT LTD,2019,0
MMV,SAERA ELECTRIC AUTO PVT LTD,2019,0
LMV,SAGAR AGRO INDUSTRIES,2019,0
3W,SAGAR FABRICATIONS,2019,0
3W,SAGAS AUTOTIC PVT LTD,2019,0
3W,SAHKAR AGRO IND,2019,0
3W,SAHNIANAND E VEHICLES PVT LTD,2019,0
2W,SAI SAMEER POWER ELECTRIC VEHICLES PVT LTD,2019,0
3W,SAIFIAN SOLAR PVT LTD,2019,0
3W,SAINIK CYCLE MART,2019,0
3W,SAKSHAM TECH AUTO,2019,0
3W,SAKSHAM TECH AUTOMOBILES,2019,35
3W,SAKSHAM TRADING COMPANY,2019,243
LMV,SAKTHI VIJAY INDUSTRIES,2019,0
LMV,SAKTHI VINAYAKA ENGINEERING WORKS,2019,0
2W,SAME DEUTZ - FAHR INDIA (P) LTD.,2019,0
3W,SAME DEUTZ - FAHR INDIA (P) LTD.,2019,0
3W,SAMEER ENGINEERING,2019,16
3W,SAMRAT ELECTRIC VEHICLE,2019,59
3W,SAN MOTORS LIMITED,2019,0
3W,SANCHAL AUTOMOBILES PVT LTD,2019,56
3W,SANT ENGG WORKS,2019,0
3W,SARAVANA ENGINEERING WORKS,2019,0
LMV,SARAVANA TRAILER,2019,0
3W,SAS MOTORS LTD.,2019,0
3W,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,2019,182
3W,SAURYAA SHARYO CORPORATION,2019,0
2W,SBTEK E MOTO PVT LTD,2019,0
3W,SCOOTERS INDIA LTD,2019,0
3W,SEALION AUTOMOBILE PVT LTD,2019,14
2W,SEEKA E MOTORS PVT LTD,2019,0
3W,SEN AND PANDIT VOLTAGE CONTROL PVT LTD,2019,54
3W,SETH INDUSTRIAL CORPORATION,2019,79
3W,SETHJI INDUSTRIES,2019,6
3W,SF2 E VEHICLE PVT LTD,2019,0
3W,SGL INDUSTRIES,2019,0
3W,SGLLINE MOTORS PVT LTD,2019,28
MMV,SHAH AGRO ENGG WORKS,2019,0
3W,SHAILENDRA AUTOS PVT LTD,2019,0
3W,SHAKTI AUTO GREEN,2019,188
3W,SHAKTIMAN AGRO INDUSTRIES,2019,0
3W,SHALYA AUTO SALES PVT LTD,2019,0
3W,SHAMMI ELECTRONICS,2019,0
2W,SHEMA E- VEHCILE & SOLAR PVT LTD,2019,0
3W,SHERA ELECTRICAL AUTO PVT LTD,2019,1
3W,SHIGAN EVOLTZ LTD,2019,950
LMV,SHIGAN EVOLTZ LTD,2019,1
3W,SHINE METAL UDYOG PVT LTD,2019,0
3W,SHINE METAL UDYOG PVT LTD (UNIT- II),2019,61
3W,SHINME ELECTRICAL VEHICLE PVT LTD,2019,0
3W,SHIV ENTERPRISES,2019,0
3W,SHIV OM INDIA,2019,209
LMV,SHIV TRAILOR INDUSTRIES,2019,0
3W,SHIVA ENTERPRISES,2019,0
3W,SHIVGANGA ECOGREEN LLP,2019,0
3W,SHREE MARUTI NANDAN BUSINESSS (P) LTD,2019,69
3W,SHREE SIRIDI SAI MINERAL & EXPORTS PVT. LTD,2019,0
3W,SHREYA ENGINEERS,2019,14
LMV,SHRI ABIRAMI TRAILERS,2019,0
MMV,SHRI ABIRAMI TRAILERS,2019,0
LMV,SHRI ANGAMMAL ENGINEERING WORKS,2019,0
LMV,SHRI ARUPADAYAN TRAILERS,2019,0
3W,SHRI BALAJI ENTERPRISES,2019,84
LMV,SHRI BANASHANKARI ENG WORKS,2019,0
2W,SHRI BARSANA E-VEHICLES PVT LTD,2019,0
3W,SHRI BARSANA E-VEHICLES PVT LTD,2019,794
LMV,SHRI BARSANA E-VEHICLES PVT LTD,2019,0
3W,SHRI CHAMUNDI MOPEDS,2019,0
3W,SHRI CHINNAMMAN ENGG. WORKS    ,2019,0
LMV,SHRI CHINNAMMAN ENGG. WORKS    ,2019,0
LMV,SHRI DEVIKA TRAILERS,2019,0
LMV,SHRI GANAPATHY ENGG. WORKS,2019,0
LMV,SHRI GANESH TRAILER,2019,0
LMV,SHRI JYOTHI ENG. WORKS.,2019,0
LMV,SHRI KANAGA TRAILERS TANKAR,2019,0
LMV,SHRI KUMAR TRAILERS EQUIPMENTS,2019,0
LMV,SHRI LAKSHMI LATHE WORKS,2019,0
LMV,SHRI LAXMI ENGINEERING WORKS,2019,0
LMV,SHRI MODERN TRAILERS,2019,0
3W,SHRI NAMO ELECTRIC AUTOMOTIVE,2019,269
3W,SHRI RAM AUTO TECH PVT LTD,2019,0
3W,SHRI RAM AUTOMOBILES,2019,0
3W,SHRI RAM INDUSTRIES,2019,0
LMV,SHRI SAKTHI VINAYAKA TRAILERS,2019,0
3W,SHRI SHIVSHANKAR ENTERPRISES,2019,5
LMV,SHRI VAIRAMUTHU TRAILERS,2019,0
LMV,SHRI VENKATESHWARA TRAILOR,2019,0
3W,SHRIRAJ ELECTRIC VEHICLES,2019,17
3W,SHRIRAM ASTRAL MOTOR CO,2019,6
3W,SHUBHAM MANUFACTURER,2019,0
3W,SIARSA ELECTRICALS PVT LTD,2019,21
LMV,SIDHI DURGA ENGINEERING,2019,0
2W,SIMPLEENERGY PVT LTD,2019,0
LMV,SINDHU MOTORS,2019,0
