category,maker,year,registrations
3W,BATTERY RICKSHAW SANGH,2015,669
2W,BATTRE ELECTRIC MOBLITY PVT LTD,2015,0
3W,BAXY LTD,2015,0
3W,BENGAL MOTORS,2015,0
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2015,0
3W,BENTINCK INDUSTRIES PVT. LTD.,2015,0
2W,BENTLEY MOTORS LIMITED,2015,0
3W,BEST WAY AGENCIES PVT LTD,2015,0
3W,BESTWAY AGENCIES PVT LTD,2015,1
3W,BESTWAY BANARASH,2015,0
2W,BGAUSS AUTO PRIVATE LIMITED,2015,0
3W,BHADAURIA ENTERPRISES,2015,0
3W,BHARAT MANUFACTURING & ASSEMBLING E RIKSHA,2015,0
3W,BHAVE ELECTRIC VEHICLES PVT LTD,2015,0
3W,BHM INDUSTRIES,2015,0
3W,BIG BULL TRADER PVT LTD,2015,0
LMV,BIG BULL TRADER PVT LTD,2015,0
3W,BIJNOR ENTERPRISES,2015,0
LMV,BILAL TRAILORS,2015,2
2W,BLIX CYCLES AND E-VEHICLES PVT LTD,2015,0
LMV,BMW INDIA PVT LTD,2015,1
2W,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,2015,0
2W,BOUNCE ELECTRIC 1 PVT LTD,2015,0
3W,BRIGHT AUTOZONE PVT LTD,2015,0
3W,BRIGHT METAL WORKS,2015,0
2W,BSA MOTORS,2015,1
3W,BSERAIL ENGINEERING PVT LTD,2015,0
3W,BULL MACHINES PVT LTD,2015,0
LMV,BYD AUTO,2015,0
LMV,BYD INDIA PRIVATE LIMITED,2015,0
3W,C M OVERSEAS,2015,0
3W,CAPARO AUTOTECH LIMITED,2015,0
LMV,CAPARO AUTOTECH LIMITED,2015,0
3W,CAPARO AUTOTECH LTD,2015,0
3W,CAPCO INDUSTRIES PVT LTD,2015,0
LMV,CAPCO INDUSTRIES PVT LTD,2015,0
3W,CARREE YUNUS VEHICLE PVT LTD,2015,0
3W,CART INDIA,2015,0
